id,session,channels_removed,channels_removed_indices
exgm002,s2,Fp2;AF8,[32 61]
exgm003,s2,P3;P5,[14 45]
exgm004,s2,T7,[9]
exgm005,s2,TP9,[10]
exgm012,s1,TP10,[21]
exgm012,s2,POz,[48]
exgm020,s2,F7,[4]
exgm031,s2,Fp1,[1]
exgm043,s1,TP7,[42]
exgm043,s2,T7;TP10,[9 21]
exgm048,s2,TP9,[10]
exgm081,s2,TP8,[55]
exgm082,s2,TP10,[21]
exgm090,s1,FT10;AF7,[27 33]
exgm102,s1,TP10,[21]
exgm105,s1,Pz,[13]
exgm107,s1,C3,[8]
exgm109,s2,FT10,[27]
exgm136,s2,T8,[26]
exgm144,s2,CP3;P5,[43 45]
exgm145,s2,C4;Fp2,[25 32]
exgm149,s2,CP5;CPz;TP7,[11 42 53]
exgm162,s1,Oz;Iz,[17 64]
exgm181,s1,Iz,[64]
exgm181,s2,Fp2,[32]
exgm182,s1,Fp2,[32]
exgm182,s2,F7,[4]
exgm185,s2,TP9,[10]
exgm190,s1,Oz;TP8,[17 55]
exgm190,s2,TP9,[10]
