id,session,removed_channels
"exgm002",1,""
"exgm002",2,"FT9"
"exgm003",1,"FC1;Cz"
"exgm003",2,"FT9;FC1"
"exgm004",1,""
"exgm004",2,"FC1"
"exgm005",1,""
"exgm005",2,""
"exgm010",1,"FC2"
"exgm010",2,"FC1;FC2"
"exgm012",1,"FC2;C2"
"exgm012",2,""
"exgm016",1,"Fz;Cz;F2"
"exgm016",2,""
"exgm018",1,"FC1;Cz;C1;C2"
"exgm018",2,"FC2;FC4"
"exgm019",1,"Fp2;FC3"
"exgm019",2,"FT9"
"exgm020",1,""
"exgm020",2,"FC1"
"exgm021",1,"FT9"
"exgm021",2,"FC1;Cz;FC3"
"exgm023",1,""
"exgm023",2,"FC1;FC2"
"exgm025",1,"FC1;FC2"
"exgm025",2,"FC1;Cz;FC2;C1;C2"
"exgm031",1,"Cz;FC2;F1"
"exgm031",2,"Fz;FC1;F1;C1"
"exgm043",1,"T7;P7;Oz;O2;P4;F4;Iz"
"exgm043",2,"FC1;FC2;Iz"
"exgm046",1,"Fz;F3;FC1;C3;Cz;AF7;F1;F5;FC3;AF4"
"exgm046",2,"FC1;Cz;FC2;C1;C2"
"exgm047",1,"Fz;FT9;FT10;FC2;F1"
"exgm047",2,"FT9;FT10"
"exgm048",1,"FC2"
"exgm048",2,"FC1;Cz;C1;Iz"
"exgm050",1,"Fz;FC2"
"exgm050",2,"FC1;FC2"
"exgm051",1,"FT10"
"exgm051",2,"FT10"
"exgm057",1,"FC1;Cz"
"exgm057",2,""
"exgm078",1,"O1;FC2"
"exgm078",2,"FT9;FC1;FC2"
"exgm079",1,"FC1;FC2"
"exgm079",2,"FT9;FC1;FC2"
"exgm081",1,"F3;FT9"
"exgm081",2,"FT10;AF7;FC3"
"exgm082",1,"AF7;FC4"
"exgm082",2,"FT9;FC2;F4;F5;FT8"
"exgm084",1,"P7;TP10;FT10"
"exgm084",2,"FC1;T8;FT10;FC2;FC3"
"exgm087",1,"FT9;FC1;T7"
"exgm087",2,"FC1;Cz;FC3;C1"
"exgm090",1,"FT9;FT10;F8;FC4"
"exgm090",2,"FT9;FC1;FC2;F8;FC3"
"exgm097",1,"Cz;C1"
"exgm097",2,"FC1"
"exgm102",1,"C4;F2"
"exgm102",2,""
"exgm105",1,"FT9;Cz;FC6;Iz"
"exgm105",2,"Cz"
"exgm107",1,"FC1;C1"
"exgm107",2,"Fp2;AF8"
"exgm108",1,"Fz;FC1;FC2;F1;F2"
"exgm108",2,"Pz;Oz;CP2;Cz;CPz"
"exgm109",1,"Fp2"
"exgm109",2,""
"exgm111",1,"Cz;FT10;FC2;C1"
"exgm111",2,"FT7;TP7"
"exgm116",1,"CPz;AF4;F2"
"exgm116",2,"P3;Cz;FC2;C1"
"exgm117",1,"FC1;F4;F6;F2"
"exgm117",2,"FC1;FC2;C2"
"exgm119",1,"Cz;FC2"
"exgm119",2,"Cz;FT10;AF7"
"exgm120",1,"FT9;FT10;F2"
"exgm120",2,"Fz;FC1;Cz;C4;FC2;F4;CPz;C2;F2"
"exgm121",1,"Fz;F3;FC1;Cz;FC2;FC3;F2;Iz"
"exgm121",2,"Cz;CPz"
"exgm122",1,"T8;FC6;F8;FC4"
"exgm122",2,"Fp2"
"exgm132",1,"FT9;FC1;Cz;FT10;C1"
"exgm132",2,"FT9;FC1;FC2"
"exgm133",1,"FT9;FC2"
"exgm133",2,"FC2;F2;Iz"
"exgm136",1,"CP2;Cz;FC2;CPz"
"exgm136",2,"FC1;C3;CP1;Cz;FC2;F1;FC3;C1;CPz;Iz"
"exgm144",1,"F7;FT9;T7;FT10"
"exgm144",2,"FT9;FC1;FC2"
"exgm145",1,"Fz;FC2;F2"
"exgm145",2,"FC2"
"exgm146",1,"P4"
"exgm146",2,"Cz"
"exgm149",1,"FC1;FC2"
"exgm149",2,"Cz;FC2"
"exgm154",1,"Fz;F1"
"exgm154",2,"FC1;O1;CP3"
"exgm156",1,"FC2"
"exgm156",2,"FC1;FC2"
"exgm162",1,"FT9;FC2"
"exgm162",2,"Oz;AF7"
"exgm164",1,""
"exgm164",2,"PO4"
"exgm169",1,"F4"
"exgm169",2,"Cz;FC2;C1"
"exgm171",1,"Fp1;Fz;F1;F2"
"exgm171",2,""
"exgm172",1,"Fz;FT10;FC2;F4;F2"
"exgm172",2,"Fz;FC1;C3;Cz;FC2;F1;FC3;C2;F2"
"exgm179",1,"Fz;Oz;Cz;Fp2"
"exgm179",2,"FC2"
"exgm181",1,"FC1;FT10;FC2;FC3"
"exgm181",2,"F7;FC1"
"exgm182",1,"Oz"
"exgm182",2,"FT9;FC1;FT10"
"exgm184",1,""
"exgm184",2,"F4;FC4"
"exgm185",1,""
"exgm185",2,"Cz;AF7;C1"
"exgm188",1,"FT9;FC1;Oz;FT10;FC2;AF7;FC4;Iz"
"exgm188",2,"FT9;FT10"
"exgm190",1,"Fz;FC1;FC2;FC4;F6"
"exgm190",2,"CP5;Oz;AF7"
"exgm193",1,"C3;FC2"
"exgm193",2,"Oz;AF7;AF8"
"exgm077",1,"FC4"
"exgm152",1,"FC2"
"exgm160",1,"FC2"
"exgm175",1,"FT10"
