id,session,ICs,dipoles_under_15pRV
exgm002,1,21,15
exgm003,1,11,9
exgm004,1,19,12
exgm005,1,14,10
exgm010,1,22,13
exgm012,1,24,19
exgm016,1,17,14
exgm018,1,23,19
exgm019,1,19,11
exgm020,1,19,14
exgm021,1,17,16
exgm023,1,22,15
exgm025,1,15,11
exgm031,1,24,19
exgm043,1,19,15
exgm046,1,19,16
exgm047,1,14,9
exgm048,1,23,17
exgm050,1,13,11
exgm051,1,23,16
exgm057,1,22,17
exgm077,1,28,23
exgm078,1,21,15
exgm079,1,27,18
exgm081,1,21,16
exgm082,1,21,15
exgm084,1,20,13
exgm087,1,27,19
exgm090,1,24,19
exgm097,1,24,21
exgm102,1,20,10
exgm105,1,24,19
exgm107,1,23,18
exgm108,1,16,14
exgm109,1,33,18
exgm111,1,18,10
exgm116,1,26,18
exgm117,1,25,17
exgm119,1,22,18
exgm120,1,14,10
exgm121,1,20,20
exgm122,1,24,10
exgm132,1,24,15
exgm133,1,27,20
exgm136,1,23,19
exgm144,1,20,13
exgm145,1,24,15
exgm146,1,19,11
exgm149,1,26,18
exgm152,1,18,8
exgm154,1,17,14
exgm156,1,21,15
exgm160,1,13,11
exgm162,1,13,8
exgm164,1,24,19
exgm169,1,15,6
exgm171,1,32,22
exgm172,1,11,8
exgm175,1,17,9
exgm179,1,24,20
exgm181,1,20,14
exgm182,1,26,21
exgm184,1,26,17
exgm185,1,24,19
exgm188,1,19,16
exgm190,1,20,17
exgm193,1,8,5
exgm002,2,23,16
exgm003,2,21,15
exgm004,2,28,19
exgm005,2,13,6
exgm010,2,27,21
exgm012,2,34,25
exgm016,2,18,13
exgm018,2,30,23
exgm019,2,19,13
exgm020,2,27,22
exgm021,2,15,6
exgm023,2,23,20
exgm025,2,19,14
exgm031,2,27,21
exgm043,2,25,20
exgm046,2,26,19
exgm047,2,17,11
exgm048,2,25,20
exgm050,2,24,17
exgm051,2,25,15
exgm057,2,28,21
exgm078,2,32,26
exgm079,2,30,18
exgm081,2,27,23
exgm082,2,16,13
exgm084,2,18,11
exgm087,2,26,17
exgm090,2,25,20
exgm097,2,29,22
exgm102,2,31,24
exgm105,2,22,16
exgm107,2,17,11
exgm108,2,15,8
exgm109,2,26,13
exgm111,2,39,28
exgm116,2,30,22
exgm117,2,21,13
exgm119,2,24,16
exgm120,2,4,4
exgm121,2,26,19
exgm122,2,20,14
exgm132,2,24,17
exgm133,2,21,14
exgm136,2,24,23
exgm144,2,22,14
exgm145,2,37,31
exgm146,2,26,19
exgm149,2,32,25
exgm154,2,18,12
exgm156,2,34,25
exgm162,2,26,19
exgm164,2,28,23
exgm169,2,28,18
exgm171,2,23,21
exgm172,2,19,8
exgm179,2,30,22
exgm181,2,27,18
exgm182,2,28,27
exgm184,2,25,22
exgm185,2,28,22
exgm188,2,22,13
exgm190,2,22,12
exgm193,2,23,13
